Ticker,Ticker,Name,Date,Time,Company
ATEX,ATEX,Anterix Inc.,2020-05-27,Estimated,PDVWIRELESS INC
DBI,DBI,Designer Brands Inc.,2020-05-27,Estimated,DESIGNER BRANDS INC
RL,RL,Ralph Lauren Corporation,2020-05-27,Pre-Market,RALPH LAUREN CORP
CMCO,CMCO,Columbus McKinnon Corporation,2020-05-27,Pre-Market,COLUMBUS MCKINNON CORP
GEN,GEN,"Genesis Healthcare, Inc.",2020-05-27,Pre-Market,GENESIS HEALTHCARE INC
LPG,LPG,Dorian LPG Ltd.,2020-05-27,Pre-Market,DORIAN LPG LTD
WDAY,WDAY,"Workday, Inc.",2020-05-27,Post-Market,WORKDAY INC
UVV,UVV,Universal Corporation,2020-05-27,Post-Market,UNIVERSAL CORP
CACC,CACC,Credit Acceptance Corporation,2020-05-27,Post-Market,CREDIT ACCEP CORP MICH
BURL,BURL,"Burlington Stores, Inc.",2020-05-28,Estimated,BURLINGTON STORES INC
MRVL,MRVL,Marvell Technology Group Ltd.,2020-05-28,Estimated,MARVELL TECHNOLOGY GROUP
DLTR,DLTR,"Dollar Tree, Inc.",2020-05-28,Estimated,DOLLAR TREE INC
SHOO,SHOO,"Steven Madden, Ltd.",2020-05-28,Estimated,MADDEN STEVEN LTD
MNRO,MNRO,"Monro, Inc.",2020-05-28,Estimated,MONRO INC
HWKN,HWKN,"Hawkins, Inc.",2020-05-28,Estimated,HAWKINS INC
JWN,JWN,"Nordstrom, Inc.",2020-05-28,Estimated,NORDSTROM INC
ULTA,ULTA,"Ulta Beauty, Inc.",2020-05-28,Estimated,ULTA BEAUTY INC
COST,COST,Costco Wholesale Corporation,2020-05-28,Estimated,COSTCO WHOLESALE CORP
CRM,CRM,"salesforce.com, inc.",2020-05-28,Estimated,SALESFORCE COM INC
VMW,VMW,"VMware, Inc.",2020-05-28,Estimated,VMWARE INC
DELL,DELL,Dell Technologies Inc.,2020-05-28,Estimated,DELL TECHNOLOGIES
DG,DG,Dollar General Corporation,2020-05-28,Estimated,DOLLAR GENERAL CORP
MOD,MOD,Modine Manufacturing Company,2020-05-28,Estimated,MODINE MANUFACTURING CO
MOV,MOV,"Movado Group, Inc.",2020-05-28,Estimated,MOVADO GROUP INC
GES,GES,"Guess', Inc.",2020-05-28,Estimated,GUESS INC
HLNE,HLNE,Hamilton Lane Incorporated,2020-05-28,Estimated,HAMILTON LANE INC
CTRN,CTRN,"Citi Trends, Inc.",2020-05-28,Estimated,CITI TRENDS INC
ZS,ZS,"Zscaler, Inc.",2020-05-28,Estimated,ZSCALER
PSTG,PSTG,"Pure Storage, Inc.",2020-05-28,Estimated,PURE STORAGE INC
ADVM,ADVM,"Adverum Biotechnologies, Inc.",2020-05-28,Estimated,ADVERUM BIOTECH INC
TH,TH,Target Hospitality Corp.,2020-05-28,Estimated,TARGET HOSPITALITY (A)
SAFM,SAFM,"Sanderson Farms, Inc.",2020-05-28,Estimated,SANDERSON FARMS INC
VEEV,VEEV,Veeva Systems Inc.,2020-05-28,Estimated,VEEVA SYSTEMS INC
OKTA,OKTA,"Okta, Inc.",2020-05-28,Estimated,OKTA INC
OLLI,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",2020-05-28,Estimated,OLLIES BARGAIN OUTLET
SIEB,SIEB,Siebert Financial Corp.,2020-05-28,Estimated,SIEBERT FINANCIAL CORP
TGI,TGI,"Triumph Group, Inc.",2020-05-28,Pre-Market,TRIUMPH GROUP INC
LL,LL,"Lumber Liquidators Holdings, Inc.",2020-05-28,Pre-Market,LUMBER LIQUIDATORS HLDGS
TITN,TITN,Titan Machinery Inc.,2020-05-28,Pre-Market,TITAN MACHINERY INC
ANF,ANF,Abercrombie & Fitch Co.,2020-05-28,Pre-Market,ABERCROMBIE & FITCH
REX,REX,REX American Resources Corporation,2020-05-28,Pre-Market,REX AMERICAN RESOURCES
GLNG,GLNG,Golar LNG Limited,2020-05-28,Pre-Market,GOLAR LNG LTD BERMUDA
TECD,TECD,Tech Data Corporation,2020-05-28,Pre-Market,TECH DATA CORP
DXC,DXC,DXC Technology Company,2020-05-28,Post-Market,DXC TECHNOLOGY COMPANY
GERN,GERN,Geron Corporation,2020-05-28,Post-Market,GERON CORP
WSM,WSM,"Williams-Sonoma, Inc.",2020-05-28,Post-Market,WILLIAMS SONOMA INC
MJCO,MJCO,Majesco,2020-05-28,Post-Market,MAJESCO
KLXE,KLXE,"KLX Energy Services Holdings, Inc.",2020-05-29,Estimated,KLX ENERGY SERVICES
CPRI,CPRI,Capri Holdings Limited,2020-05-29,Estimated,CAPRI HOLDINGS LIMITED
VRNT,VRNT,Verint Systems Inc.,2020-05-29,Estimated,VERINT SYS INC
SENEA,SENEA,Seneca Foods Corporation,2020-05-29,Estimated,SENECA FOODS CORP
CIR,CIR,"CIRCOR International, Inc.",2020-05-29,Estimated,CIRCOR INTERNATIONAL INC
HFFG,HFFG,HF Foods Group Inc.,2020-05-29,Estimated,HF FOODS GROUP INC
BIG,BIG,"Big Lots, Inc.",2020-05-29,Pre-Market,BIG LOTS INC
