,User_name,Sentiment,User_flr,sText,Text
2020-06-23 06:54:48,GuyAdami,0,306376,"$NKE, ","RT @timseymour: As Facebook climbs to all-time highs, the rock climbing crowd sets up camp elsewhere. Will it take a $NKE, $WMT, or $SBUX l…"
2020-06-23 07:00:35,InvincibleBull,0,568,$NKE ,"When stocks go red make something up to make them go green. 🚂💰💰💰💰💰💰💰💰💰

$SPY $MSFT $AMZN $FB $SBUX $JPM $CMG $JNJ $BABA $NKE $CCL $UNH $NVDA $DIS $VZ $TSLA $QQQ $MSI $WMT $NOW $NFLX $DECK $MELI $BKNG $PLNT $BA $CCL $WYNN $RCL $AAL https://t.co/iK78bD0Rr9"
2020-06-23 07:03:26,c_labrinos,1,258,"$NKERT @INVINCIBLEBULL: WHEN STOCKS GO RED MAKE SOMETHING UP TO MAKE THEM GO GREEN. 🚂💰💰💰💰💰💰💰💰💰

","RT @InvincibleBull: When stocks go red make something up to make them go green. 🚂💰💰💰💰💰💰💰💰💰

$SPY $MSFT $AMZN $FB $SBUX $JPM $CMG $JNJ $BABA…"
2020-06-23 07:04:30,ElaineBenes99,0,5896,$NKERT @ICEMANTRADING: ,"RT @IcemanTrading: $AAPL Raised to $400 at UBS
$RCL Lowered to $60 at UBS 
$WHR Raised to $150 at GS
$SHW Raised to $640 at WF
$SEAS Raised…"
2020-06-23 07:04:37,InvincibleBull,0,568,$NKE ,"$AAPL &amp; $AMZN almost $3trillion in market cap combined 😳 

$SPY $MSFT $AMZN $FB $SBUX $JPM $CMG $JNJ $BABA $NKE $CCL $UNH $NVDA $DIS $VZ $TSLA $QQQ $MSI $WMT $NOW $NFLX $DECK $MELI $BKNG $PLNT $BA $CCL $WYNN $RCL $AAL"
2020-06-23 07:05:41,InvincibleBull,0,568,$NKE ,"You can’t make this stuff up! 2020 what a year to be alive 

$SPY $MSFT $AMZN $FB $SBUX $JPM $CMG $JNJ $BABA $NKE $CCL $UNH $NVDA $DIS $VZ $TSLA $QQQ $MSI $WMT $NOW $NFLX $DECK $MELI $BKNG $PLNT $BA $CCL $WYNN $RCL $AAL https://t.co/zRX2ZU7CbV"
2020-06-23 07:05:48,BenAltitude,0,2793,$NKERT @ICEMANTRADING: ,"RT @IcemanTrading: $AAPL Raised to $400 at UBS
$RCL Lowered to $60 at UBS 
$WHR Raised to $150 at GS
$SHW Raised to $640 at WF
$SEAS Raised…"
2020-06-23 07:08:53,pharris667,1,11019,$NKE SUSQUEHANNA MAINTAINS POSITIVE PT 130,"$AAPL DB Raises Target Price On Apple To $380 From $350
$AAPL: UBS RAISES TARGET PRICE TO $400 FROM $325
$AVLR Piper Maintains Overweight pt 138
$EA Baird Maintains Outperform Raises PT to $150 from $130
$KPTI HCW Maintains Buy pt 41.00
$NKE Susquehanna Maintains Positive PT 130"
2020-06-23 07:10:00,Backporch_trade,0,7,$NKE ,$AAPL $WMT $NKE $WKHS these are all moving today🚀🚀 also if you don’t have puts on $SPY for Wednesday or Friday yah gonna miss out #DDTG #RobinhoodTraders https://t.co/jFZjKM2oC0
2020-06-23 07:15:20,DrTony44,0,3492,"$NKE, ","RT @timseymour: As Facebook climbs to all-time highs, the rock climbing crowd sets up camp elsewhere. Will it take a $NKE, $WMT, or $SBUX l…"
2020-06-23 07:18:09,ntfri,0,2826,$NKERT @PHARRIS667: ,"RT @pharris667: $AAPL DB Raises Target Price On Apple To $380 From $350
$AAPL: UBS RAISES TARGET PRICE TO $400 FROM $325
$AVLR Piper Mainta…"
