MACRO,COVID,Official,States
,LaxMusgrave,,
,JohnAALogan,,
,bahepa,,
,jurylady5,,
,meNabster,,
,NgospelMedia,,
,DCAbloob,,
,All435Reps,,
,suepeac,,
,buckleyswartz,,
,danielle_ivory,,
,BehroozBalouch,,
,paulrogers002,,
,OldSouthernDem,,
,EnglishSlinger,,
,AngelicaC503,,
,northwind1ndn,,
,ThisWasMash,,
,PenderynDic,,
,lanct22,,
,DanTilkinKOIN6,,
,EndGameWW3,,
,AldershotYC,,
,BahangD,,
,BelTel,,
,TheNewsGob,,
,GovSherazKhan,,
,Pamela49986311,,
,garden4u_wa,,
,FinancialJuice,,
