User_name,Freq,Score,Flr
KIMPY123,5,3260,652
wsternks,5,5290,1058
MediaActive,5,14615,2923
Sanders4Health,5,56410,11282
Meernaa89,5,1930,386
MMerajKKhan,5,1620,324
marypgkeating,5,10205,2041
moocowsue,5,810,162
Xy5Z89,5,7515,1503
loriannwhite,5,2420,484
garzzio,5,15,3
TedGrunewald,5,18470,3694
AMcA32449832,5,1595,319
Network_Easy,4,80048,20012
proudbluemom,4,628,157
Grizzified,4,1988,497
NJdoc,4,81356,20339
MegumiMatsuda3,4,1208,302
bigforkgirl,4,2324,581
Olwyn_55,4,1188,297
amor_vuelveTX,4,84612,21153
CO_COVIDWATCH,4,24,6
NJStudent123,4,404,101
Gummbyman32,4,41268,10317
Short2Cjs,4,1188,297
geoffrey_payne,4,35864,8966
Vmbritsch,4,40920,10230
tigerbeat,4,41068,10267
PaulMaraIreland,4,1264,316
JoymcdMcdonald,4,2004,501
GDT0429,4,1076,269
BlueWolfhound,4,468,117
leahcappuccino,4,1200,300
commiegirl1,4,76139,19034.75
ABC17News,4,81880,20470
RealRexKwonDo,4,2376,594
ppjkis,4,428,107
PsyKloz,4,180,45
QueenG719,4,82572,20643
AM900CHML,4,72456,18114
WWalkerWW,4,7372,1843
melformosa,4,6784,1696
JerryHicksUnite,4,37088,9272
ShannonS1013,4,340,85
s0nderdaughter,4,1060,265
WashInformer,4,36688,9172
MMinevich,4,82772,20693
BethLimesand,4,168,42
Mister_HydeE,4,336,84
jrlaredo,4,1256,314
WFPLNews,4,83028,20757
GregDeGug,4,2348,587
Happydays2025,4,340,85
AliceQou,4,1076,269
katiedyd2,4,624,156
FifeLabour,4,7040,1760
AthenaChad94,4,1904,476
kglben,4,616,154
orwell4ever,4,49336,12334
amstelcatwalk,4,112,28
CC8TV,4,2212,553
sue81015484,4,176,44
USA2UK99,4,2212,553
LauraLi61207844,4,8268,2067
melodyisdestiny,4,48360,12090
iconcollector2,4,1120,280
MyArrse,4,57720,14430
fishbert,4,1220,305
Feenielives4him,4,7584,1896
issym16,4,2100,525
HOUGHLO,4,416,104
PhilipM67375789,4,7320,1830
StephanieBrys11,4,2124,531
regtwn74,4,1112,278
WDAYnews,4,90120,22530
CathyFarrow1,4,2188,547
Jab03919711,4,2184,546
debatenothate2,4,54944,13736
AnthropoceneM,4,51759,12939.75
theinfomakercom,4,424,106
rumijulie,4,1924,481
DancingPrivatei,4,176,44
RickiAdoroIV,4,7324,1831
country_still,4,1140,285
ProSyria2,4,2136,534
javascriptisez,4,2132,533
KHQA,4,54752,13688
Artificialbra1n,4,1220,305
NBC6News,4,47320,11830
spkodowell,4,7092,1773
GlobalOkanagan,4,87304,21826
Brimmy1967,4,1876,469
chief222,4,7912,1978
SportSessions,4,28,7
TeesValleyVoice,4,64284,16071
ultralite001,4,2284,571
jungledidi,4,2056,514
lee_lepore,4,628,157
ElaSayss,4,1898,474.5
JeanneBartram,4,54768,13692
ISpeakMyTruth58,4,24,6
nutmeg3isme,4,8568,2142
PMicarelli,4,2252,563
owoniyilb,4,1172,293
richardcalhoun,4,98180,24545
John_C_Smith3,4,96,24
thecodeman30,4,28,7
solusnan1,4,87708,21927
nonsellcom,4,1168,292
pmagn,4,45116,11279
peterfelth,4,2240,560
wokabaut_meri,4,2080,520
Aroguden,4,45504,11376
kw1979,4,7896,1974
FrancisMaudeAdv,4,7252,1813
dreamwithfaith,4,45944,11486
suzotchka67,4,628,157
SophiaPapadop10,4,7280,1820
JamesDCWrighter,4,1220,305
tony_smith70,4,1980,495
ScottLeMagicien,4,11296,2824
OddlyB,4,35092,8773
hangingnoodles,4,14388,3597
JBrown94573224,4,372,93
carlottah,4,3712,928
MyZZs,4,256,64
CoronaWorldStat,4,372,93
Bermingham52,4,256,64
AntiWokeBritain,4,3740,935
CofHEQ,4,3784,946
PhilDeCarolis,4,14484,3621
Ladybecsu,4,804,201
Elizamary12,4,796,199
cj29933879,4,4016,1004
MzNikiLz,4,3904,976
withoutcorona19,4,52,13
GregHolmanNL,4,13844,3461
tenajd,4,13828,3457
epidatageek,4,3964,991
Svinka_Masha,4,264,66
G2Fuller,4,264,66
tchappelear1,4,352,88
ReallyAliveNow,4,13716,3429
indypremium,4,15128,3782
kalla_alok,4,3660,915
LGSoderlund1,4,15184,3796
Lauryn2000,4,5400,1350
heysyd,4,17712,4428
GeoffyPJohnston,4,17640,4410
Awareness4L,4,3320,830
SeanNewboy,4,17312,4328
_AnsBy,4,3356,839
ElaineDavies943,4,3392,848
Judi07346905,4,856,214
Lawlor224,4,16804,4201
deathtocrazy,4,16364,4091
lizrobinson54,4,248,62
AnnSmit45836518,4,248,62
luciaruggiero,4,3492,873
zibazadiran,4,692,173
RoyKizzia,4,3540,885
knoweuro,4,3540,885
BarbMccown,4,12,3
frankietheone1,4,15540,3885
ghia1212,4,3624,906
KitchenTableRpt,4,3624,906
SamLitzinger,4,13696,3424
Jo_Cespedes,4,704,176
Jo2Jim1978,4,872,218
mapspen,4,560,140
DerrickRScott,4,4300,1075
DoubleD17999325,4,4332,1083
audanutting,4,756,189
ErinSandersNP,4,11184,2796
revolution_fr,4,11224,2806
SheelaghG,4,4424,1106
Leel06Lee,4,12160,3040
Roban28,4,360,90
Randolphgibbs,4,4880,1220
MelanieBurd,4,740,185
adi7anand,4,13564,3391
IndiasBigdebate,4,4880,1220
alisonmawright,4,11736,2934
Cecil3695Cecil,4,4632,1158
drahmadbazzi,4,11704,2926
delie67,4,11592,2898
BagalueSunab,4,11588,2897
johnferrugia,4,11560,2890
MLGG2,4,4812,1203
monitor_PH,4,4824,1206
tarykh_iran2017,4,11084,2771
JohnEdginton,4,11044,2761
StevieHannah85,4,4264,1066
lise_buranen,4,272,68
dickensgirl,4,13560,3390
jmacd27,4,292,73
BigM0h,4,4096,1024
anyalhas,4,13284,3321
equityhealthdev,4,13260,3315
radiocandied,4,292,73
Global_Guelph,4,4112,1028
JulieCuninghame,4,13156,3289
kaelynforde,4,10880,2720
cac2529,4,5140,1285
HildaPalmer,4,13084,3271
charprek12,4,708,177
Blubdha,4,13052,3263
kujakupoet,4,10960,2740
Jkl64rn,4,48,12
Debbiesplace65,4,4196,1049
weact2,4,12884,3221
lobylyn,4,5044,1261
jeshir99,4,12732,3183
Godfrey28482926,4,3280,820
DentonRobert,4,5664,1416
ExanteData,4,35004,8751
sunterra1014,4,25948,6487
Diane5785,4,80,20
misspattih,4,2636,659
Suzannex13x,4,216,54
ObamaMama59,4,6280,1570
dehhartman,4,592,148
Penny_G,4,26648,6662
CherokeeNative3,4,26292,6573
SueBarnish,4,26132,6533
SMurray1000,4,26076,6519
NicolaForBrexit,4,2728,682
katydogcrazy,4,2820,705
ghkimball,4,6248,1562
ThatABoy10,4,220,55
caborradaileho1,4,24480,6120
